LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.420, Time: 2.364852 s
         1506687 function calls (1490005 primitive calls) in 2.886 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.004    0.000 core.py:3440(mayReturnEmpty)
    48/27    0.000    0.000    0.004    0.000 functools.py:1010(__get__)
    42/21    0.000    0.000    0.004    0.000 core.py:3413(re)
       44    0.001    0.000    0.004    0.000 __init__.py:358(namedtuple)
       64    0.000    0.000    0.004    0.000 core.py:1574(__add__)
     1406    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        1    0.000    0.000    0.004    0.004 contour.py:1(<module>)
      686    0.002    0.000    0.004    0.000 functools.py:36(update_wrapper)
       21    0.001    0.000    0.004    0.000 typing.py:2998(__new__)
       65    0.000    0.000    0.003    0.000 core.py:4399(__init__)
    85/30    0.000    0.000    0.003    0.000 typing.py:1483(_determine_new_args)
     7567    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.003    0.003 scale.py:1(<module>)
       51    0.002    0.000    0.003    0.000 _linalg.py:1383(eig)
        1    0.000    0.000    0.003    0.003 LebwohlLasher.py:33(initdat)
        1    0.000    0.000    0.003    0.003 einsumfunc.py:1(<module>)
    85/30    0.001    0.000    0.003    0.000 typing.py:1512(_make_substitution)
     1415    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      629    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      624    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      635    0.001    0.000    0.003    0.000 enum.py:354(__setitem__)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
       12    0.000    0.000    0.003    0.000 core.py:1248(parse_string)
        1    0.000    0.000    0.003    0.003 __init__.py:245(_check_versions)
      336    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_get_cached)
      403    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
        8    0.000    0.000    0.003    0.000 core.py:6238(__init__)
      230    0.001    0.000    0.003    0.000 overrides.py:85(verify_matching_signatures)
        7    0.000    0.000    0.003    0.000 __init__.py:71(import_module)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
     28/7    0.000    0.000    0.003    0.000 core.py:5048(leave_whitespace)
       21    0.000    0.000    0.003    0.000 typing.py:2979(_make_nmtuple)
        1    0.000    0.000    0.003    0.003 numeric.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
     8038    0.002    0.000    0.003    0.000 _parser.py:167(__getitem__)
      221    0.001    0.000    0.003    0.000 _compiler.py:514(_compile_info)
      113    0.000    0.000    0.003    0.000 rcsetup.py:99(f)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 mathtext.py:1(<module>)
      454    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
      443    0.000    0.000    0.003    0.000 core.py:560(copy)
       39    0.000    0.000    0.003    0.000 colors.py:1081(from_list)
        1    0.000    0.000    0.003    0.003 version.py:161(Version)
        7    0.000    0.000    0.002    0.000 enum.py:898(_convert_)
      147    0.000    0.000    0.002    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.002    0.002 ticker.py:1(<module>)
        1    0.000    0.000    0.002    0.002 font_manager.py:1625(_load_fontmanager)
        3    0.000    0.000    0.002    0.001 exceptions.py:1(<module>)
      624    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      310    0.001    0.000    0.002    0.000 function_base.py:486(add_newdoc)
       67    0.002    0.000    0.002    0.000 colors.py:1134(reversed)
       24    0.000    0.000    0.002    0.000 typing.py:1446(__or__)
     1583    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 units.py:1(<module>)
      443    0.001    0.000    0.002    0.000 copy.py:62(copy)
       84    0.000    0.000    0.002    0.000 core.py:4427(<genexpr>)
        1    0.000    0.000    0.002    0.002 font_manager.py:1030(json_load)
      356    0.001    0.000    0.002    0.000 inspect.py:811(_finddoc)
       64    0.000    0.000    0.002    0.000 util.py:420(replaced_by_pep8)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
     59/7    0.000    0.000    0.002    0.000 core.py:4239(leave_whitespace)
   129/61    0.000    0.000    0.002    0.000 core.py:4331(copy)
      261    0.000    0.000    0.002    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
        1    0.000    0.000    0.002    0.002 __init__.py:299(loads)
        1    0.000    0.000    0.002    0.002 decoder.py:340(decode)
    32311    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
        1    0.001    0.001    0.002    0.002 decoder.py:351(raw_decode)
   306/12    0.001    0.000    0.002    0.000 core.py:893(_parseNoCache)
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
     5396    0.001    0.000    0.002    0.000 _parser.py:260(get)
        1    0.000    0.000    0.002    0.002 _fontconfig_pattern.py:55(_make_fontconfig_parser)
    72/12    0.000    0.000    0.002    0.000 core.py:4490(parseImpl)
      212    0.000    0.000    0.002    0.000 {built-in method builtins.any}
    12072    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
       30    0.000    0.000    0.002    0.000 typing.py:1762(copy_with)
        1    0.000    0.000    0.002    0.002 _mathtext.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
     2703    0.001    0.000    0.002    0.000 cbook.py:468(_strip_comment)
        7    0.000    0.000    0.002    0.000 core.py:3109(__init__)
      509    0.001    0.000    0.002    0.000 _inspect.py:97(getargspec)
       19    0.000    0.000    0.002    0.000 rcsetup.py:677(cycler)
     1238    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.002    0.001 __init__.py:12(__getattr__)
     2177    0.001    0.000    0.002    0.000 typing.py:1122(_is_unpacked_typevartuple)
     4597    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      112    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      624    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
 1326/424    0.002    0.000    0.002    0.000 _parser.py:177(getwidth)
       15    0.000    0.000    0.002    0.000 core.py:1734(__or__)
       24    0.001    0.000    0.002    0.000 util.py:222(_collapse_string_to_ranges)
       15    0.000    0.000    0.002    0.000 core.py:4723(__init__)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 colorbar.py:1(<module>)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
      443    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      175    0.001    0.000    0.002    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.002    0.002 _local.py:1(<module>)
      336    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
     1238    0.000    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     5516    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        7    0.000    0.000    0.002    0.000 enum.py:842(_create_)
        1    0.000    0.000    0.002    0.002 _pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 texmanager.py:1(<module>)
      624    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.002    0.002 axes3d.py:41(Axes3D)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
     2078    0.001    0.000    0.002    0.000 typing.py:1294(_is_dunder)
    10383    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      477    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        2    0.000    0.000    0.002    0.001 dataclasses.py:1294(wrap)
      230    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
 1699/193    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
        2    0.000    0.000    0.002    0.001 dataclasses.py:929(_process_class)
       43    0.000    0.000    0.002    0.000 core.py:4728(<genexpr>)
 1699/193    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 format.py:1(<module>)
        1    0.000    0.000    0.001    0.001 plistlib.py:1(<module>)
      483    0.001    0.000    0.001    0.000 enum.py:1059(_add_member_)
      432    0.001    0.000    0.001    0.000 font_manager.py:989(_json_decode)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
      586    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        8    0.001    0.000    0.001    0.000 enum.py:1753(convert_class)
      985    0.001    0.000    0.001    0.000 inspect.py:764(unwrap)
        1    0.000    0.000    0.001    0.001 _tripcolor.py:1(<module>)
      357    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      319    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      694    0.001    0.000    0.001    0.000 inspect.py:176(get_annotations)
        1    0.000    0.000    0.001    0.001 tempfile.py:1(<module>)
      541    0.000    0.000    0.001    0.000 __init__.py:164(match)
      696    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
     9176    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 backend_tools.py:1(<module>)
      336    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:834(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 _format_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 getlimits.py:168(_register_known_types)
      161    0.000    0.000    0.001    0.000 inspect.py:3119(replace)
